name,price,rating
Antonio Rüdiger,11000,82
Andrea Barzagli,11000,85
Kévin Gameiro,13000,83
Kalidou Koulibaly,13000,84
Héctor Bellerín,13000,81
Miranda,13000,86
Roberto Firmino,14000,83
Yaya Touré,14000,83
Ander Herrera,14000,84
Javi Martinez,14000,86
Vincent Kompany,14000,85
Samuel Umtiti,14000,83
Cesc Fàbregas,15000,86
Morata,15000,84
Juan Cuadrado,15000,82
Jan Vertonghen,15000,85
Laurent Koscielny,16000,84
David Silva,17000,87
Corentin Tolisso,17000,82
Marco Asensio,18000,84
Mohamed Salah,18000,83
Heung Min Son,18000,82
Kostas Manolas,20000,84
Leroy Sané,20000,82
Piqué,20000,87
Leon Goretzka,20000,82
Virgil van Dijk,20000,83
Lorenzo Insigne,23000,85
Douglas Costa,23000,82
Alessandro Florenzi,24000,82
Timo Werner,24000,82
Alejandro Gómez,25000,84
Diego Godín,25000,88
Ángel Di María,25000,85
Franck Ribéry,26000,86
Yannick Carrasco,26000,85
Moussa Dembélé,26000,82
Ivan Rakitić,27000,87
Filipe Luís,27000,85
Willian,28000,84
Iniesta,29000,87
Edinson Cavani,30000,87
Toby Alderweireld,32000,86
Thomas Müller,34000,86
Diego Costa,35000,86
Coutinho,35000,86
Sokratis,37000,86
Mesut Özil,38000,88
Henrikh Mkhitaryan,39000,85
Leonardo Bonucci,39000,88
Antonio Valencia,40000,83
Alexis Sánchez,45000,89
Anthony Martial,45000,82
Radja Nainggolan,45000,86
Alex Sandro,45000,86
Miralem Pjanić,45000,85
Dele Alli,45000,84
David Luiz,45000,86
Marco Reus,45000,86
Paulo Dybala,45000,88
Claudio Marchisio,45000,85
Paul Pogba,45000,87
Toni Kroos,45000,90
Sergio Ramos,45000,90
Gareth Bale,45000,89
Luka Modrić,45000,89
Antoine Griezmann,45000,88
Blaise Matuidi,45000,85
Kyle Walker,45000,83
Zlatan Ibrahimović,45000,88
Marcelo,45000,87
Eden Hazard,45000,90
Karim Benzema,45000,86
Sergio Busquets,45000,86
Isco,45000,86
Casemiro,45000,85
Mats Hummels,45000,88
Raphaël Varane,45000,85
Jordi Alba,45000,85
Sergio Agüero,45000,89
N'Golo Kanté,45000,87
Kevin De Bruyne,45000,89
Thiago Silva,45000,88
Marek Hamšík,45000,87
Dries Mertens,45000,86
Romelu Lukaku,45000,86
Thiago,45000,88
Giorgio Chiellini,45000,89
Harry Kane,45000,86
Neymar,45000,92
Alexandre Lacazette,45000,85
Azpilicueta,45000,85
James Rodríguez,45000,86
Ousmane Dembélé,45000,83
Arjen Robben,45000,88
David Alaba,45000,86
Pierre-Emerick Aubame,45000,88
Arturo Vidal,45000,87
Kylian Mbappé,45000,83
Jérôme Boateng,45000,88
Robert Lewandowski,45000,91
İlkay Gündoğan,45000,85
Christian Eriksen,45000,87
Eric Bailly,45000,84
Gonzalo Higuaín,45000,90
Łukasz Piszczek,45000,83
Sadio Mané,150000,84
